Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
856,06/12/2019,5040,Raleigh-Durham / Durham (RDU/KRDU),Philadelphia / Philadelphia (PHL/KPHL),337,12:58:00,13:49:00,00:51:00,Endeavor Air (9E/EDV),Bombardier CRJ-200 (CRJ2),N980EV,3A
855,06/12/2019,2675,Minneapolis / St Paul (MSP/KMSP),Raleigh-Durham / Durham (RDU/KRDU),980,06:59:00,10:08:00,02:09:00,Delta Air Lines (DL/DAL),Airbus A320-200 (A320),N336NW,14A
854,06/06/2019,2989,Charleston / Charleston (CHS/KCHS),Cleveland / Hopkins (CLE/KCLE),597,12:49:00,14:12:00,01:23:00,Allegiant Air (G4/AAY),Airbus A320-200 (A320),N226NV,22A
853,06/06/2019,2988,Cleveland / Hopkins (CLE/KCLE),Charleston / Charleston (CHS/KCHS),597,10:04:00,11:23:00,01:19:00,Allegiant Air (G4/AAY),Airbus A320-200 (A320),N226NV,7B
852,06/05/2019,6229,Raleigh-Durham / Durham (RDU/KRDU),Cleveland / Hopkins (CLE/KCLE),417,20:47:00,22:04:00,01:17:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N340CA,8D
851,06/05/2019,2160,Orlando / Orlando (MCO/KMCO),Raleigh-Durham / Durham (RDU/KRDU),536,16:34:00,18:20:00,01:46:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N944AT,26E
850,06/05/2019,925,New York / La Guardia (LGA/KLGA),Orlando / Orlando (MCO/KMCO),952,10:26:00,12:37:00,02:11:00,Delta Air Lines (DL/DAL),Airbus A321-200 (A321),N329DN,17D
849,06/05/2019,3297,Cleveland / Hopkins (CLE/KCLE),New York / La Guardia (LGA/KLGA),418,07:05:00,08:13:00,01:08:00,Endeavor Air (9E/EDV),Bombardier CRJ-900 (CRJ9),N605LR,19D
848,06/01/2019,792,Atlanta / Hartsfield-Jackson (ATL/KATL),Cleveland / Hopkins (CLE/KCLE),556,15:27:00,16:40:00,01:13:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N926DH,17E
847,06/01/2019,1177,Raleigh-Durham / Durham (RDU/KRDU),Atlanta / Hartsfield-Jackson (ATL/KATL),356,12:37:00,13:33:00,00:56:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N916DE,25A
846,05/31/2019,939,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Raleigh-Durham / Durham (RDU/KRDU),502,10:32:00,11:47:00,01:15:00,Delta Air Lines (DL/DAL),Airbus A320-200 (A320),N347NW,18F
845,05/31/2019,1668,Cleveland / Hopkins (CLE/KCLE),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),95,06:08:00,06:29:00,00:21:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N935AT,28E
844,05/29/2019,3630,Miami / Miami International (MIA/KMIA),Cleveland / Hopkins (CLE/KCLE),1084,22:14:00,00:44:00,02:30:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N671AE,4A
843,05/29/2019,2807,Tampa / Tampa (TPA/KTPA),Miami / Miami International (MIA/KMIA),205,14:20:00,14:55:00,00:35:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N946AN,23E
842,05/29/2019,2001,Charlotte / Douglas (CLT/KCLT),Tampa / Tampa (TPA/KTPA),509,11:37:00,12:48:00,01:11:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N151UW,16C
841,05/29/2019,2021,Cleveland / Hopkins (CLE/KCLE),Charlotte / Douglas (CLT/KCLT),432,07:00:00,08:11:00,01:11:00,American Airlines (AA/AAL),Airbus A320-200 (A320),N114UW,26A
840,05/27/2019,3402,Charlotte / Douglas (CLT/KCLT),Parkersburg / Parkersburg Mid-Ohio Valley Regional Airport (PKB/KPKB),287,12:11:00,12:55:00,00:44:00,Corporate Flight Management (LF/VTE),Embraer ERJ-145 (E145),N16919,9A
839,05/27/2019,3401,Parkersburg / Parkersburg Mid-Ohio Valley Regional Airport (PKB/KPKB),Charlotte / Douglas (CLT/KCLT),287,08:09:00,08:54:00,00:45:00,Corporate Flight Management (LF/VTE),Embraer ERJ-145 (E145),N16919,6A
838,05/18/2019,4296,Minneapolis / St Paul (MSP/KMSP),La Crosse / La Crosse Municipal (LSE/KLSE),119,20:46:00,21:17:00,00:31:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N498CA,5A
837,05/18/2019,5364,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Minneapolis / St Paul (MSP/KMSP),854,17:58:00,19:42:00,01:44:00,Endeavor Air (9E/EDV),Bombardier CRJ-900 (CRJ9),N330PQ,15D
836,05/16/2019,5023,Minneapolis / St Paul (MSP/KMSP),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),854,09:38:00,11:30:00,01:52:00,Endeavor Air (9E/EDV),Bombardier CRJ-900 (CRJ9),N146PQ,15D
835,05/16/2019,7422,La Crosse / La Crosse Municipal (LSE/KLSE),Minneapolis / St Paul (MSP/KMSP),119,07:15:00,07:47:00,00:32:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N882AS,7A
834,05/04/2019,1419,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),311,20:28:00,20:18:00,00:50:00,Delta Air Lines (DL/DAL),Airbus A321-200 (A321),N358DN,24A
833,05/04/2019,492,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),987,15:42:00,18:38:00,01:56:00,Delta Air Lines (DL/DAL),Airbus A220-100 (BCS1),N101DU,24E
832,05/04/2019,492,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),987,12:35:00,14:15:00,02:40:00,Delta Air Lines (DL/DAL),Airbus A220-100 (BCS1),N101DU,24A
831,05/04/2019,2661,Minneapolis / St Paul (MSP/KMSP),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),528,08:55:00,11:11:00,01:16:00,Delta Air Lines (DL/DAL),Boeing 737-900 (B739),N907DN,18A
830,05/04/2019,1801,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Minneapolis / St Paul (MSP/KMSP),228,07:18:00,08:04:00,00:46:00,Delta Air Lines (DL/DAL),Airbus A321-200 (A321),N350DN,23A
829,04/27/2019,2080,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),311,20:34:00,20:26:00,00:52:00,Delta Air Lines (DL/DAL),Airbus A321-200 (A321),N320DN,30F
828,04/27/2019,367,Charlotte / Douglas (CLT/KCLT),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),501,17:48:00,19:08:00,01:20:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N928AT,29E
827,04/27/2019,1157,Minneapolis / St Paul (MSP/KMSP),Charlotte / Douglas (CLT/KCLT),931,10:10:00,13:09:00,01:59:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N989DN,18B
826,04/27/2019,1652,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Minneapolis / St Paul (MSP/KMSP),228,07:14:00,08:02:00,00:48:00,Delta Air Lines (DL/DAL),Airbus A321-200 (A321),N347DN,35D
825,04/20/2019,418,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,18:15:00,19:13:00,00:58:00,United Airlines (UA/UAL),Boeing 737-900 (B739),N67827,39A
824,04/20/2019,3587,Omaha / Eppley Airfield (OMA/KOMA),Chicago / O'Hare (ORD/KORD),415,15:33:00,16:41:00,01:08:00,Republic Airlines (YX/RPA),Embraer ERJ-170 (E170),N862RW,23C
823,04/20/2019,2120,Denver / Denver (DEN/KDEN),Omaha / Eppley Airfield (OMA/KOMA),472,10:59:00,13:00:00,01:01:00,United Airlines (UA/UAL),Airbus A319-100 (A319),N851UA,31F
822,04/20/2019,1864,Minneapolis / St Paul (MSP/KMSP),Denver / Denver (DEN/KDEN),680,06:17:00,06:52:00,01:35:00,United Airlines (UA/UAL),Boeing 737-900 (B739),N64809,12B
821,04/06/2019,302,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,18:41:00,19:06:00,00:25:00,United Airlines (UA/UAL),Airbus A319-100 (A319),N890UA,31F
820,04/06/2019,387,Philadelphia / Philadelphia (PHL/KPHL),Chicago / O'Hare (ORD/KORD),677,13:23:00,14:07:00,01:44:00,United Airlines (UA/UAL),Boeing 737-700 (B737),N24706,26C
819,04/06/2019,4591,Chicago / O'Hare (ORD/KORD),Philadelphia / Philadelphia (PHL/KPHL),677,08:14:00,10:46:00,01:32:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N158GJ,15D
818,04/06/2019,2211,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,06:27:00,06:58:00,00:31:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N402UA,20A
817,03/21/2019,3424,Newark / Liberty International (EWR/KEWR),Minneapolis / St Paul (MSP/KMSP),1007,15:00:00,16:24:00,02:24:00,Republic Airlines (YX/RPA),Embraer ERJ-170 (E170),N631RW,17C
816,03/21/2019,695,Boston / Logan (BOS/KBOS),Newark / Liberty International (EWR/KEWR),200,13:26:00,14:26:00,01:00:00,United Airlines (UA/UAL),Airbus A319-100 (A319),N895UA,28B
815,03/21/2019,992,Chicago / O'Hare (ORD/KORD),Boston / Logan (BOS/KBOS),865,07:56:00,10:46:00,01:50:00,United Airlines (UA/UAL),Boeing 737-800 (B738),N33262,8F
814,03/21/2019,617,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,05:41:00,06:38:00,00:57:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N424UA,7E
813,03/19/2019,3885,Chicago / O'Hare (ORD/KORD),Rochester / Rochester (RST/KRST),268,20:31:00,21:19:00,00:48:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N674RJ,16C
812,03/19/2019,2597,Boston / Logan (BOS/KBOS),Chicago / O'Hare (ORD/KORD),865,17:59:00,19:10:00,02:11:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N948NN,29B
811,03/19/2019,4912,Rochester / Greater Rochester (ROC/KROC),Boston / Logan (BOS/KBOS),343,14:12:00,15:04:00,00:52:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N620AE,14C
810,03/19/2019,3838,Chicago / O'Hare (ORD/KORD),Rochester / Greater Rochester (ROC/KROC),527,08:47:00,11:00:00,01:13:00,Envoy Air (MQ/ENY),Bombardier CRJ-700 (CRJ7),N543EA,16A
809,03/19/2019,3892,Rochester / Rochester (RST/KRST),Chicago / O'Hare (ORD/KORD),268,06:53:00,07:42:00,00:49:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N661JA,17C
808,01/15/2019,3714,Chicago / O'Hare (ORD/KORD),La Crosse / La Crosse Municipal (LSE/KLSE),215,20:40:00,21:25:00,00:45:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N656AE,9A
807,01/15/2019,1486,Washington / Washington National (DCA/KDCA),Chicago / O'Hare (ORD/KORD),611,17:40:00,18:15:00,01:35:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N933AN,13A
806,01/15/2019,5309,Chattanooga / Lovell Fld (CHA/KCHA),Washington / Washington National (DCA/KDCA),523,12:10:00,13:24:00,01:14:00,PSA Airlines (OH/JIA),Bombardier CRJ-200 (CRJ2),N213PS,6A
805,01/15/2019,3964,Chicago / O'Hare (ORD/KORD),Chattanooga / Lovell Fld (CHA/KCHA),502,08:58:00,11:10:00,01:12:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N925AE,7A
804,01/15/2019,3865,La Crosse / La Crosse Municipal (LSE/KLSE),Chicago / O'Hare (ORD/KORD),215,06:20:00,07:06:00,00:46:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N941LT,7A
803,01/14/2019,3885,Chicago / O'Hare (ORD/KORD),Rochester / Rochester (RST/KRST),268,20:41:00,21:28:00,00:47:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N685AE,13C
802,01/14/2019,3624,Toledo / Express Airport (TOL/KTOL),Chicago / O'Hare (ORD/KORD),213,17:26:00,17:09:00,00:43:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N905JH,17A
801,01/14/2019,3813,Chicago / O'Hare (ORD/KORD),Toledo / Express Airport (TOL/KTOL),213,08:34:00,10:11:00,00:37:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N658AE,18C
800,01/14/2019,3892,Rochester / Rochester (RST/KRST),Chicago / O'Hare (ORD/KORD),268,06:22:00,07:15:00,00:53:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N941LT,16A
799,01/08/2019,3564,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,22:47:00,23:19:00,00:32:00,Envoy Air (MQ/ENY),Embraer ERJ-175 (E175),N231AN,17A
798,01/08/2019,1015,Washington / Washington National (DCA/KDCA),Chicago / O'Hare (ORD/KORD),611,18:57:00,19:42:00,01:45:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N339PL,29F
797,01/08/2019,2085,Philadelphia / Philadelphia (PHL/KPHL),Washington / Washington National (DCA/KDCA),119,16:43:00,17:13:00,00:30:00,American Airlines (AA/AAL),Embraer ERJ-190 (E190),N954UW,21D
796,01/08/2019,374,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Philadelphia / Philadelphia (PHL/KPHL),1302,11:01:00,14:24:00,02:23:00,American Airlines (AA/AAL),Boeing 757-200 (B752),N175AN,32B
795,01/08/2019,3582,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),823,06:45:00,08:55:00,02:10:00,Envoy Air (MQ/ENY),Embraer ERJ-175 (E175),N245NN,18A
794,01/03/2019,617,Kansas City / Kansas City (MCI/KMCI),Milwaukee / Gen Mitchell (MKE/KMKE),436,14:31:00,15:41:00,01:10:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N444WN,19A
793,01/03/2019,1200,St Louis / St Louis (STL/KSTL),Kansas City / Kansas City (MCI/KMCI),236,10:40:00,11:19:00,00:39:00,Southwest Airlines (WN/SWA),Boeing 737-800 (B738),N8631A,26F
792,01/03/2019,1200,Cleveland / Hopkins (CLE/KCLE),St Louis / St Louis (STL/KSTL),487,09:25:00,09:40:00,01:15:00,Southwest Airlines (WN/SWA),Boeing 737-800 (B738),N8631A,26F
791,12/31/2018,5120,Philadelphia / Philadelphia (PHL/KPHL),Akron/Canton / Akron/Canton (CAK/KCAK),334,18:08:00,19:22:00,01:14:00,PSA Airlines (OH/JIA),Bombardier CRJ-200 (CRJ2),N246PS,12A
790,12/31/2018,5433,Greensboro/High Point / Piedmont Triad (GSO/KGSO),Philadelphia / Philadelphia (PHL/KPHL),365,15:51:00,17:03:00,01:12:00,PSA Airlines (OH/JIA),Bombardier CRJ-200 (CRJ2),N251PS,11A
789,12/31/2018,5419,Charlotte / Douglas (CLT/KCLT),Greensboro/High Point / Piedmont Triad (GSO/KGSO),84,13:08:00,13:37:00,00:29:00,PSA Airlines (OH/JIA),Bombardier CRJ-900 (CRJ9),N560NN,11F
788,12/31/2018,1821,Philadelphia / Philadelphia (PHL/KPHL),Charlotte / Douglas (CLT/KCLT),449,10:25:00,11:51:00,01:26:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N586UW,18F
787,12/31/2018,5440,Akron/Canton / Akron/Canton (CAK/KCAK),Philadelphia / Philadelphia (PHL/KPHL),334,08:03:00,08:53:00,00:50:00,PSA Airlines (OH/JIA),Bombardier CRJ-200 (CRJ2),N228PS,2F
786,12/24/2018,1002,Milwaukee / Gen Mitchell (MKE/KMKE),Cleveland / Hopkins (CLE/KCLE),328,08:04:00,09:51:00,00:47:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N941WN,20A
785,12/01/2018,4296,Minneapolis / St Paul (MSP/KMSP),La Crosse / La Crosse Municipal (LSE/KLSE),119,23:34:00,00:06:00,00:32:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N433SW,12D
784,12/01/2018,1698,Kansas City / Kansas City (MCI/KMCI),Minneapolis / St Paul (MSP/KMSP),394,20:14:00,21:09:00,00:55:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N948AT,17E
783,12/01/2018,970,Minneapolis / St Paul (MSP/KMSP),Kansas City / Kansas City (MCI/KMCI),394,13:28:00,14:29:00,01:01:00,Delta Air Lines (DL/DAL),Airbus A319-100 (A319),N320NB,18A
782,12/01/2018,4294,La Crosse / La Crosse Municipal (LSE/KLSE),Minneapolis / St Paul (MSP/KMSP),119,12:10:00,12:43:00,00:33:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N922EV,7D
781,11/17/2018,3072,Chicago / O'Hare (ORD/KORD),Rochester / Rochester (RST/KRST),268,20:40:00,21:28:00,00:48:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N706SK,8B
780,11/17/2018,1017,Charlotte / Douglas (CLT/KCLT),Chicago / O'Hare (ORD/KORD),600,17:25:00,18:08:00,01:43:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N947NN,23B
779,11/17/2018,1818,Raleigh-Durham / Durham (RDU/KRDU),Charlotte / Douglas (CLT/KCLT),130,14:48:00,15:22:00,00:34:00,American Airlines (AA/AAL),Airbus A320-200 (A320),N126UW,9E
778,11/17/2018,1349,Chicago / O'Hare (ORD/KORD),Raleigh-Durham / Durham (RDU/KRDU),646,08:52:00,11:20:00,01:28:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N9628W,32A
777,11/17/2018,3186,Rochester / Rochester (RST/KRST),Chicago / O'Hare (ORD/KORD),268,06:58:00,07:46:00,00:48:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N754SK,9B
776,11/10/2018,746,Minneapolis / St Paul (MSP/KMSP),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),228,20:39:00,21:13:00,00:34:00,Delta Air Lines (DL/DAL),Boeing 737-900 (B739),N810DN,35F
775,11/10/2018,451,Cincinnati / Northern Kentucky Int (CVG/KCVG),Minneapolis / St Paul (MSP/KMSP),596,17:26:00,18:05:00,01:39:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N945AT,14A
774,11/10/2018,6180,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Cincinnati / Northern Kentucky Int (CVG/KCVG),229,13:08:00,13:52:00,00:44:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N355CA,11A
773,11/10/2018,932,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),311,08:54:00,10:45:00,00:51:00,Delta Air Lines (DL/DAL),Boeing 737-900 (B739),N841DN,35F
772,11/03/2018,4196,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,21:20:00,21:46:00,00:26:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N693AE,4C
771,11/03/2018,1881,Charlotte / Douglas (CLT/KCLT),Chicago / O'Hare (ORD/KORD),600,14:52:00,15:31:00,01:39:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N198UW,30F
770,11/03/2018,5568,Dayton / James M Cox Dayton (DAY/KDAY),Charlotte / Douglas (CLT/KCLT),371,12:12:00,13:13:00,01:01:00,PSA Airlines (OH/JIA),Bombardier CRJ-200 (CRJ2),N259PS,9C
769,11/03/2018,3364,Chicago / O'Hare (ORD/KORD),Dayton / James M Cox Dayton (DAY/KDAY),240,08:29:00,10:07:00,00:38:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N694AE,16B
768,11/03/2018,3479,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,05:34:00,05:59:00,00:25:00,Envoy Air (MQ/ENY),Embraer ERJ-175 (E175),N220NN,14C
767,08/21/2018,1223,Atlanta / Hartsfield-Jackson (ATL/KATL),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),709,17:07:00,17:49:00,01:42:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N937DL,30A
766,08/21/2018,1895,Philadelphia / Philadelphia (PHL/KPHL),Atlanta / Hartsfield-Jackson (ATL/KATL),667,13:22:00,15:02:00,01:40:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N911DE,23A
765,08/21/2018,2955,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Philadelphia / Philadelphia (PHL/KPHL),453,10:24:00,11:32:00,01:08:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N920DN,33A
764,08/21/2018,2163,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),311,07:05:00,09:00:00,00:55:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N920DN,33A
763,08/04/2018,3811,Chicago / O'Hare (ORD/KORD),Milwaukee / Gen Mitchell (MKE/KMKE),67,18:49:00,19:09:00,00:20:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N456ZW,4A
762,08/04/2018,790,Austin / Bergstrom International (AUS/KAUS),Chicago / O'Hare (ORD/KORD),979,14:15:00,16:28:00,02:13:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N415UA,8E
761,08/04/2018,1759,Houston / George Bush Intercontinental (IAH/KIAH),Austin / Bergstrom International (AUS/KAUS),140,10:30:00,10:57:00,00:27:00,United Airlines (UA/UAL),Boeing 737 MAX 9 (B39M),N37504,11F
760,08/04/2018,6179,Milwaukee / Gen Mitchell (MKE/KMKE),Houston / George Bush Intercontinental (IAH/KIAH),987,05:39:00,07:50:00,02:11:00,Mesa Airlines (YV/ASH),Embraer ERJ-175 (E175),N87302,9A
759,07/28/2018,1414,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Chicago / O'Hare (ORD/KORD),234,15:55:00,15:36:00,00:41:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N896AT,23A
758,07/28/2018,1233,Baltimore / Washington (BWI/KBWI),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),409,13:25:00,14:29:00,01:04:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N918DH,18C
757,07/28/2018,387,Chicago / O'Hare (ORD/KORD),Baltimore / Washington (BWI/KBWI),621,06:45:00,09:06:00,01:21:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N428UA,12F
756,07/14/2018,3751,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Chicago / Chicago Midway (MDW/KMDW),228,16:14:00,15:56:00,00:42:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N766SK,12A
755,07/13/2018,2133,Chicago / Chicago Midway (MDW/KMDW),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),228,17:56:00,19:39:00,00:43:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N218WN,24F
754,07/07/2018,2950,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Milwaukee / Gen Mitchell (MKE/KMKE),237,16:01:00,15:37:00,00:36:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N922AT,29A
753,07/07/2018,6188,Akron/Canton / Akron/Canton (CAK/KCAK),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),134,13:51:00,14:18:00,00:27:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N669CA,11A
752,07/04/2018,1181,Atlanta / Hartsfield-Jackson (ATL/KATL),Akron/Canton / Akron/Canton (CAK/KCAK),530,22:07:00,23:20:00,01:13:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N916DE,30A
751,07/04/2018,2035,Milwaukee / Gen Mitchell (MKE/KMKE),Atlanta / Hartsfield-Jackson (ATL/KATL),671,16:57:00,19:45:00,01:48:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N913DL,30E
750,06/30/2018,2679,Washington / Washington National (DCA/KDCA),Chicago / O'Hare (ORD/KORD),611,21:13:00,21:41:00,01:28:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N936AN,25D
749,06/30/2018,1855,Charlotte / Douglas (CLT/KCLT),Washington / Washington National (DCA/KDCA),331,18:24:00,19:17:00,00:53:00,American Airlines (AA/AAL),Airbus A319-100 (A319),N835AW,13F
748,06/30/2018,2875,Jackson / Jackson (JAN/KJAN),Charlotte / Douglas (CLT/KCLT),562,14:35:00,16:58:00,01:23:00,ExpressJet Airlines (XE/ASQ),Bombardier CRJ-700 (CRJ7),N608QX,15A
747,06/30/2018,3684,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Jackson / Jackson (JAN/KJAN),408,12:31:00,13:33:00,01:02:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N939AE,16C
746,06/30/2018,2428,Chicago / O'Hare (ORD/KORD),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),803,08:23:00,10:08:00,01:45:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N934AA,13F
745,05/12/2018,766,Atlanta / Hartsfield-Jackson (ATL/KATL),Milwaukee / Gen Mitchell (MKE/KMKE),671,20:07:00,20:44:00,01:37:00,Delta Air Lines (DL/DAL),Boeing 737-900 (B739),N892DN,14A
744,05/12/2018,1250,Kansas City / Kansas City (MCI/KMCI),Atlanta / Hartsfield-Jackson (ATL/KATL),693,14:06:00,16:42:00,01:36:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N910DE,33E
743,05/10/2018,5019,Cincinnati / Northern Kentucky Int (CVG/KCVG),Kansas City / Kansas City (MCI/KMCI),539,09:05:00,09:28:00,01:23:00,Endeavor Air (9E/EDV),Bombardier CRJ-200 (CRJ2),N981EV,10C
742,05/10/2018,3555,Milwaukee / Gen Mitchell (MKE/KMKE),Cincinnati / Northern Kentucky Int (CVG/KCVG),318,06:10:00,08:01:00,00:51:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N429SW,10D
741,04/29/2018,396,Portland / Portland (PDX/KPDX),Chicago / O'Hare (ORD/KORD),1737,00:14:00,05:48:00,03:34:00,Alaska Airlines (AS/ASA),Boeing 737-800 (B738),N593AS,23D
740,04/28/2018,2799,Seattle / Seattle-Tacoma (SEA/KSEA),Portland / Portland (PDX/KPDX),129,23:01:00,23:33:00,00:32:00,Horizon Air (QX/QXE),Embraer ERJ-175 (E175),N624QX,16A
739,04/28/2018,3311,Billings / Logan (BIL/KBIL),Seattle / Seattle-Tacoma (SEA/KSEA),663,19:10:00,19:44:00,01:34:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N170SY,19D
738,04/28/2018,3310,Portland / Portland (PDX/KPDX),Billings / Logan (BIL/KBIL),678,15:24:00,18:01:00,01:37:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N170SY,12A
737,04/28/2018,704,Seattle / Seattle-Tacoma (SEA/KSEA),Portland / Portland (PDX/KPDX),129,11:59:00,12:26:00,00:27:00,Alaska Airlines (AS/ASA),Boeing 737-900 (B739),N419AS,21A
