Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
367,03/05/2016,1161,Dayton / James M Cox Dayton (DAY/KDAY),Atlanta / Hartsfield-Jackson (ATL/KATL),434,14:26:00,15:40:00,01:14:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N930AT,11D
366,03/05/2016,4191,Minneapolis / St Paul (MSP/KMSP),Dayton / James M Cox Dayton (DAY/KDAY),574,10:19:00,12:34:00,01:15:00,Endeavor Air (9E/EDV),Bombardier CRJ-200 (CRJ2),N800AY,2A
365,03/05/2016,766,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,07:09:00,08:09:00,01:00:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N907DA,2D
364,03/02/2016,1261,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,19:18:00,20:07:00,00:49:00,American Airlines (AA/AAL),McDonnell Douglas MD-82 (MD82),N468AA,12A
363,03/02/2016,335,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,16:12:00,17:15:00,01:03:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N436AA,12A
362,02/27/2016,3597,St Louis / St Louis (STL/KSTL),Chicago / Chicago Midway (MDW/KMDW),251,16:09:00,16:52:00,00:43:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N701GS,16F
361,02/27/2016,1096,Oklahoma City / Oklahoma City (OKC/KOKC),St Louis / St Louis (STL/KSTL),461,13:32:00,14:35:00,01:03:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N402WN,13F
360,02/26/2016,805,St Louis / St Louis (STL/KSTL),Oklahoma City / Oklahoma City (OKC/KOKC),461,10:08:00,11:17:00,01:09:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N795SW,14A
359,02/26/2016,2125,Chicago / Chicago Midway (MDW/KMDW),St Louis / St Louis (STL/KSTL),251,06:35:00,07:17:00,00:42:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N469WN,13F
358,02/20/2016,1757,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,20:01:00,20:52:00,00:51:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N938DN,2A
357,02/20/2016,876,Charlotte / Douglas (CLT/KCLT),Minneapolis / St Paul (MSP/KMSP),931,16:42:00,18:08:00,02:26:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N608AT,2D
356,02/19/2016,3563,Cincinnati / Northern Kentucky Int (CVG/KCVG),Charlotte / Douglas (CLT/KCLT),335,09:41:00,10:35:00,00:54:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N457SW,2A
355,02/19/2016,4696,Chicago / O'Hare (ORD/KORD),Cincinnati / Northern Kentucky Int (CVG/KCVG),265,06:46:00,08:31:00,00:45:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N822SK,4A
354,02/06/2016,1777,Atlanta / Hartsfield-Jackson (ATL/KATL),Chicago / O'Hare (ORD/KORD),607,17:51:00,18:21:00,01:30:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N936DN,14A
353,02/06/2016,2133,Charlotte / Douglas (CLT/KCLT),Atlanta / Hartsfield-Jackson (ATL/KATL),227,15:58:00,16:45:00,00:47:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N917DN,4D
352,02/05/2016,2597,Atlanta / Hartsfield-Jackson (ATL/KATL),Charlotte / Douglas (CLT/KCLT),227,13:22:00,14:00:00,00:38:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N975DL,3C
351,02/05/2016,2412,Chicago / O'Hare (ORD/KORD),Atlanta / Hartsfield-Jackson (ATL/KATL),607,08:08:00,10:32:00,01:24:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N937DN,15A
350,01/30/2016,2578,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,14:33:00,15:23:00,00:50:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N984TW,5F
349,01/30/2016,2224,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,10:09:00,11:15:00,01:06:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N961TW,4A
348,01/23/2016,2330,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Chicago / O'Hare (ORD/KORD),803,19:09:00,20:59:00,01:50:00,American Airlines (AA/AAL),McDonnell Douglas MD-82 (MD82),N484AA,12A
347,01/23/2016,5706,Birmingham / Shuttlesworth (BHM/KBHM),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),597,14:53:00,16:21:00,01:28:00,Mesa Airlines (YV/ASH),Bombardier CRJ-900 (CRJ9),N326MS,13A
346,01/22/2016,5706,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Birmingham / Shuttlesworth (BHM/KBHM),597,13:02:00,14:22:00,01:20:00,Mesa Airlines (YV/ASH),Bombardier CRJ-900 (CRJ9),N956LR,5A
345,01/22/2016,2303,Chicago / O'Hare (ORD/KORD),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),803,07:16:00,09:15:00,01:59:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N9677W,9D
344,01/19/2016,2378,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Chicago / O'Hare (ORD/KORD),803,22:12:00,23:53:00,01:41:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N969TW,12A
343,01/19/2016,2349,Chicago / O'Hare (ORD/KORD),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),803,18:41:00,20:37:00,01:56:00,American Airlines (AA/AAL),Boeing 787-8 (B788),N804AN,14A
342,01/16/2016,2330,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Chicago / O'Hare (ORD/KORD),803,19:39:00,21:27:00,01:48:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N9402W,21D
341,01/16/2016,2331,Chicago / O'Hare (ORD/KORD),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),803,14:37:00,16:41:00,02:04:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N571AA,17D
340,01/06/2016,2378,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Chicago / O'Hare (ORD/KORD),803,22:08:00,23:57:00,01:49:00,American Airlines (AA/AAL),McDonnell Douglas MD-82 (MD82),N7548A,12A
339,01/06/2016,2375,Chicago / O'Hare (ORD/KORD),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),803,17:31:00,19:29:00,01:58:00,American Airlines (AA/AAL),Boeing 767-300 (B763),N362AA,22J
338,01/01/2016,2580,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Chicago / O'Hare (ORD/KORD),234,20:14:00,20:01:00,00:47:00,Delta Air Lines (DL/DAL),Airbus A320-200 (A320),N351NW,8A
337,01/01/2016,840,Philadelphia / Philadelphia (PHL/KPHL),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),453,18:03:00,19:26:00,01:23:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N982AT,2D
336,12/31/2015,813,Atlanta / Hartsfield-Jackson (ATL/KATL),Philadelphia / Philadelphia (PHL/KPHL),667,22:36:00,23:58:00,01:22:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N938DN,2A
335,12/31/2015,1877,Chicago / O'Hare (ORD/KORD),Atlanta / Hartsfield-Jackson (ATL/KATL),607,16:59:00,19:24:00,01:25:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N951AT,12A
